gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ACHN_DNMT3AmutP904L_1	ACHN_DNMT3AmutP904L_2	ACHN_DNMT3AmutP904L_3	ACHN_DNMT3Awt_1	ACHN_DNMT3Awt_2	ACHN_DNMT3Awt_3	symbol	description	term	threshold
ENSG00000122861	16182.438	-0.53	0.122	-4.349	1.36577994499823e-05	0.00114640154133289	12817.67	15305.03	11607.41	19565.62	18357.51	19441.39	PLAU	plasminogen	activator,	TRUE
ENSG00000115904	1785.487	0.297	0.068	4.334	1.46506893447982e-05	0.00122126125593501	1847.5	1991.47	2068.06	1537.34	1553.66	1714.9	SOS1	SOS	Ras/Rac	TRUE
ENSG00000137845	5786.102	0.26	0.06	4.331	1.4822813283074e-05	0.00122714619282545	5832.37	6377.48	6710.84	5165.89	5062.81	5567.23	ADAM10	ADAM	metallopeptidase	TRUE
ENSG00000120690	2177.158	0.346	0.08	4.33	1.49302386033057e-05	0.00122763125168813	2117.56	2563.71	2631.74	1989.82	1762.17	1997.96	ELF1	E74	like	TRUE
ENSG00000113441	1977.096	0.374	0.086	4.323	1.542084206461e-05	0.00124441185811131	1948.25	2303.7	2445.07	1680.17	1559.74	1925.65	LNPEP	leucyl	and	TRUE
ENSG00000144824	5059.088	0.24	0.055	4.323	1.53744152899002e-05	0.00124441185811131	5174.97	5595.19	5667.15	4537.87	4496	4883.33	PHLDB2	pleckstrin	homology	TRUE
ENSG00000160551	5110.215	0.324	0.075	4.321	1.55365118397711e-05	0.00124441185811131	4878.48	5958.52	6212.44	4651.27	4263.21	4697.38	TAOK1	TAO	kinase	TRUE
ENSG00000263731	116.205	-1.059	0.245	-4.321	1.55461397017297e-05	0.00124441185811131	110.67	64.72	49.66	171.18	181.18	119.84	AC145207.5	NA	NA	TRUE
ENSG00000102189	2911.334	0.351	0.081	4.312	1.61485910554565e-05	0.00126745467589157	2827.82	3255.16	3708.52	2490.27	2439.3	2746.94	EEA1	early	endosome	TRUE
ENSG00000103187	10742.904	-0.206	0.048	-4.315	1.59465952941748e-05	0.00126745467589157	10056.75	10392.21	9480.51	11669.59	11519.37	11339	COTL1	coactosin	like	TRUE
ENSG00000168615	16604.996	0.282	0.065	4.313	1.60911549232095e-05	0.00126745467589157	16449.07	18733.91	19486.07	14833.68	13959.68	16167.58	ADAM9	ADAM	metallopeptidase	TRUE
ENSG00000164114	692.405	0.461	0.107	4.302	1.69142806108689e-05	0.00131898651447466	653.27	868.57	886.44	552.79	592.11	601.25	MAP9	microtubule	associated	TRUE
ENSG00000166046	296.944	0.582	0.136	4.298	1.72600913694329e-05	0.00132880716167092	312.18	330.4	425.75	227.87	254.05	231.41	TCP11L2	t-complex	11	TRUE
ENSG00000198668	7434.162	-0.192	0.045	-4.298	1.72535538484758e-05	0.00132880716167092	6926.66	6980.37	6914.06	8113	7738.96	7931.93	CALM1	calmodulin	1	TRUE
ENSG00000089723	1057.032	-0.372	0.087	-4.294	1.75706303956476e-05	0.00134415322526704	895.25	1017.31	853.34	1308.37	1084.02	1183.9	OTUB2	OTU	deubiquitinase,	TRUE
ENSG00000139218	4713.391	0.304	0.071	4.288	1.80015321412137e-05	0.00136845609428207	4664.57	5318.16	5642.33	4074.49	3994.99	4585.81	SCAF11	SR-related	CTD	TRUE
ENSG00000109756	1371.842	0.354	0.083	4.281	1.85981386389582e-05	0.0014049731358068	1370.96	1581.6	1666.21	1214.61	1104.26	1293.41	RAPGEF2	Rap	guanine	TRUE
ENSG00000115977	422.886	0.547	0.128	4.279	1.87772784926765e-05	0.00140969543565827	411.29	563.15	533.34	363.07	293.53	372.94	AAK1	AP2	associated	TRUE
ENSG00000089685	2950.065	-0.221	0.052	-4.277	1.89026035976153e-05	0.00141034425731096	2717.97	2779.43	2675.87	3185.89	3138.7	3202.52	BIRC5	baculoviral	IAP	TRUE
ENSG00000117399	2776.779	-0.249	0.058	-4.263	2.01492779248055e-05	0.00148502635534832	2500.77	2682.92	2432.2	2894.77	3093.15	3056.86	CDC20	cell	division	TRUE
ENSG00000215447	268.688	0.556	0.13	4.264	2.00486422021326e-05	0.00148502635534832	288.23	309.96	361.38	219.15	223.69	209.71	NA	NA	NA	TRUE
ENSG00000163739	1360.291	-0.281	0.066	-4.259	2.05491682377438e-05	0.00150531997872491	1266.9	1243.25	1174.26	1528.62	1483.82	1464.9	CXCL1	C-X-C	motif	TRUE
ENSG00000070018	2861.275	0.259	0.061	4.257	2.07315050336557e-05	0.00150538786416219	2873.24	3192.71	3289.21	2613.47	2570.88	2628.14	LRP6	LDL	receptor	TRUE
ENSG00000187955	648.739	0.475	0.112	4.256	2.07991870038128e-05	0.00150538786416219	702	714.16	847.82	445.94	566.81	615.71	COL14A1	collagen	type	TRUE
ENSG00000138769	308.029	0.545	0.128	4.248	2.15911492153772e-05	0.00153694590281979	315.49	380.36	401.84	226.78	253.04	270.66	CDKL2	cyclin	dependent	TRUE
ENSG00000148700	2758.165	0.269	0.063	4.248	2.16166793645541e-05	0.00153694590281979	2755.14	3076.9	3213.81	2472.82	2485.86	2544.46	ADD3	adducin	3	TRUE
ENSG00000156162	1053.943	0.354	0.083	4.248	2.15876388612964e-05	0.00153694590281979	1069.52	1193.29	1286.44	907.14	875.52	991.75	DPY19L4	dpy-19	like	TRUE
ENSG00000115541	1892.307	-0.255	0.06	-4.245	2.18887123248044e-05	0.00154331313155106	1682.32	1773.48	1723.23	2090.13	2103.26	1981.43	HSPE1	heat	shock	TRUE
ENSG00000169760	859.75	0.388	0.091	4.244	2.19615999525757e-05	0.00154331313155106	849.83	992.33	1083.22	730.51	724.7	777.9	NLGN1	neuroligin	1	TRUE
ENSG00000133116	1130.141	0.344	0.081	4.238	2.2504644448608e-05	0.00154553203096775	1157.88	1310.24	1325.98	1009.63	908.92	1068.2	KL	klotho	beta-glucuronidase	TRUE
ENSG00000142634	3551.429	-0.316	0.075	-4.239	2.24941437198517e-05	0.00154553203096775	3157.34	3511.76	2825.76	4235.86	3936.28	3641.58	EFHD2	EF-hand	domain	TRUE
ENSG00000178999	1970.993	-0.268	0.063	-4.239	2.24322932087443e-05	0.00154553203096775	1749.22	1921.08	1699.32	2134.83	2191.32	2130.19	AURKB	aurora	kinase	TRUE
ENSG00000198721	2239.532	-0.239	0.056	-4.24	2.23782408733165e-05	0.00154553203096775	2125.82	1998.28	2037.71	2424.85	2437.28	2413.26	ECI2	enoyl-CoA	delta	TRUE
ENSG00000132432	1575.21	-0.279	0.066	-4.233	2.30471557005608e-05	0.00156500545479033	1497.32	1377.23	1393.11	1691.07	1813.79	1678.74	SEC61G	Sec61	translocon	TRUE
ENSG00000154229	8652.758	0.216	0.051	4.233	2.30383532432262e-05	0.00156500545479033	8816.28	9256.82	9829.01	8201.32	7904.95	7908.17	PRKCA	protein	kinase	TRUE
ENSG00000109572	5359.704	0.274	0.065	4.228	2.36272013077879e-05	0.00158656656781796	5340.97	5916.51	6345.78	4742.85	4649.85	5162.26	CLCN3	chloride	voltage-gated	TRUE
ENSG00000140718	682.127	0.363	0.086	4.229	2.35065912663515e-05	0.00158656656781796	716.04	774.33	812.88	607.3	581.99	600.21	FTO	FTO	alpha-ketoglutarate	TRUE
ENSG00000103316	608.007	-0.371	0.088	-4.216	2.48511328034064e-05	0.00165041561645479	535.17	537.04	518.62	701.07	713.57	642.57	CRYM	crystallin	mu	TRUE
ENSG00000180488	574.722	0.466	0.111	4.217	2.47655217184213e-05	0.00165041561645479	573.16	685.77	742.07	500.45	422.07	524.8	MIGA1	mitoguardin	1	TRUE
ENSG00000157827	14109.593	0.232	0.055	4.2	2.67279476480142e-05	0.00176535903399753	14508.25	14890.62	16325.6	13465.34	12276.46	13191.3	FMNL2	formin	like	TRUE
ENSG00000136881	385.565	0.484	0.115	4.198	2.6883101802454e-05	0.00176595680155577	439.37	411.01	498.39	285.66	339.07	339.88	BAAT	bile	acid-CoA:amino	TRUE
ENSG00000139132	1217.175	0.325	0.078	4.194	2.74385467488116e-05	0.00179270115974533	1209.09	1422.64	1431.73	1083.77	1059.73	1096.09	FGD4	FYVE,	RhoGEF	TRUE
ENSG00000084623	5877.657	-0.189	0.045	-4.182	2.88834310130825e-05	0.00186563392795104	5501.19	5569.08	5410.6	6321.62	6226.79	6236.66	EIF3I	eukaryotic	translation	TRUE
ENSG00000115884	5920.766	-0.193	0.046	-4.183	2.88095900557207e-05	0.00186563392795104	5594.52	5612.22	5371.98	6305.27	6352.3	6288.31	SDC1	syndecan	1	TRUE
ENSG00000179277	304.22	0.517	0.124	4.181	2.90178852035075e-05	0.00186563392795104	336.96	364.46	373.34	254.04	218.63	277.9	MEIS3P1	Meis	homeobox	TRUE
ENSG00000038427	31987.191	0.198	0.047	4.178	2.9421238594372e-05	0.00188155825867817	32876.66	33682.43	35968.91	30163.44	28872.81	30358.89	VCAN	versican	calcium	TRUE
ENSG00000107249	1985.499	0.262	0.063	4.175	2.97741709209805e-05	0.00188419059644969	2066.35	2144.75	2285.07	1733.59	1834.03	1849.2	GLIS3	GLIS	family	TRUE
ENSG00000138593	4258.831	0.283	0.068	4.176	2.96602998479891e-05	0.00188419059644969	4304.49	4635.79	5084.16	4037.42	3534.45	3956.67	SECISBP2L	SECIS	binding	TRUE
ENSG00000158769	1526.392	-0.296	0.071	-4.173	2.99978649557611e-05	0.00188845934229315	1440.34	1373.82	1296.56	1689.98	1791.52	1566.14	F11R	F11	receptor	TRUE
ENSG00000111716	42980.135	-0.209	0.05	-4.162	3.1539174427957e-05	0.00194496939444243	42444.49	37951.49	39217.66	45117.05	47742.47	45407.66	LDHB	lactate	dehydrogenase	TRUE
ENSG00000115020	2405.731	0.294	0.071	4.164	3.13244594172599e-05	0.00194496939444243	2490.03	2602.31	2858.86	2170.81	1983.83	2328.54	PIKFYVE	phosphoinositide	kinase,	TRUE
ENSG00000132963	2463.234	-0.243	0.058	-4.164	3.12364890773398e-05	0.00194496939444243	2340.55	2139.07	2285.07	2661.45	2755.09	2598.18	POMP	proteasome	maturation	TRUE
ENSG00000224470	3222.234	0.277	0.067	4.163	3.14770864643779e-05	0.00194496939444243	3164.77	3643.46	3786.68	2900.23	2832.02	3006.24	ATXN1L	ataxin	1	TRUE
ENSG00000117592	5556.639	-0.204	0.049	-4.158	3.20448866329972e-05	0.00196612459255349	5326.93	5146.72	5019.79	5793.91	6117.48	5935	PRDX6	peroxiredoxin	6	TRUE
ENSG00000123636	1783.217	0.317	0.076	4.156	3.23915842415996e-05	0.00197735898347583	1752.52	2063	2121.39	1610.39	1494.96	1657.05	BAZ2B	bromodomain	adjacent	TRUE
ENSG00000150938	11122.848	0.296	0.071	4.152	3.2997490933502e-05	0.00199642833577554	10589.44	12785.61	13402.36	9739.74	9668.13	10551.8	CRIM1	cysteine	rich	TRUE
ENSG00000154723	2044.317	-0.241	0.058	-4.151	3.30343068714411e-05	0.00199642833577554	1887.14	1883.61	1851.96	2175.17	2300.63	2167.39	ATP5PF	ATP	synthase	TRUE
ENSG00000175548	212.627	0.653	0.158	4.128	3.65140088203336e-05	0.00219574539607648	208.95	299.74	272.19	175.54	143.73	175.62	ALG10B	ALG10	alpha-1,2-glucosyltransferase	TRUE
ENSG00000075711	8283.372	0.24	0.058	4.121	3.778235020565e-05	0.00224963185682607	8410.77	8966.16	9532.92	7717.22	7118.51	7954.66	DLG1	discs	large	TRUE
ENSG00000225733	3634.48	0.266	0.064	4.121	3.77081463755786e-05	0.00224963185682607	3630.57	4028.36	4247.38	3293.83	3137.69	3469.06	FGD5-AS1	FGD5	antisense	TRUE
ENSG00000144290	109.372	0.893	0.217	4.111	3.93388927850609e-05	0.00233082939751486	104.89	152.14	170.12	64.33	75.91	88.84	SLC4A10	solute	carrier	TRUE
ENSG00000106399	1695.475	-0.25	0.061	-4.109	3.97018509635218e-05	0.00234085986632238	1586.52	1504.39	1554.95	1805.55	1884.64	1836.8	RPA3	replication	protein	TRUE
ENSG00000101347	2180.476	-0.24	0.058	-4.1	4.13865205655393e-05	0.00242834404891103	1937.52	2077.76	1986.22	2439.02	2313.79	2328.54	SAMHD1	SAM	and	TRUE
ENSG00000163430	1382.869	0.29	0.071	4.096	4.20380493838853e-05	0.00245465653576339	1508.06	1585	1472.19	1206.97	1342.12	1182.87	FSTL1	follistatin	like	TRUE
ENSG00000163386	809.98	-0.423	0.103	-4.094	4.23358046339666e-05	0.00246015803178247	825.88	613.11	634.49	925.67	991.91	868.81	NA	NA	NA	TRUE
ENSG00000076067	2564.056	0.273	0.067	4.086	4.38072497125778e-05	0.00253348434103315	2564.36	2984.94	2871.74	2364.88	2189.3	2409.12	RBMS2	RNA	binding	TRUE
ENSG00000109654	674.167	0.424	0.104	4.085	4.40604900064735e-05	0.00253599591765831	692.09	748.22	877.25	547.34	533.41	646.7	TRIM2	tripartite	motif	TRUE
ENSG00000125995	1345.365	-0.291	0.071	-4.083	4.44602683183011e-05	0.00254687802447064	1188.44	1281.85	1162.3	1519.89	1538.48	1381.22	ROMO1	reactive	oxygen	TRUE
ENSG00000114270	9325.874	-0.303	0.074	-4.08	4.49938025655409e-05	0.00256528345098912	9438.99	8120.3	7487.85	10943.45	10573	9391.66	COL7A1	collagen	type	TRUE
ENSG00000101421	3753.732	-0.201	0.049	-4.073	4.65075569014333e-05	0.00261458995473314	3566.98	3468.61	3440.94	4067.95	3973.73	4004.19	CHMP4B	charged	multivesicular	TRUE
ENSG00000111052	211.627	0.589	0.145	4.073	4.63772083187431e-05	0.00261458995473314	237.85	257.73	267.59	162.46	194.33	149.8	LIN7A	lin-7	homolog	TRUE
ENSG00000154874	107.602	0.887	0.218	4.073	4.63383282010791e-05	0.00261458995473314	105.71	182.8	131.49	75.23	71.86	78.51	CCDC144B	coiled-coil	domain	TRUE
ENSG00000087365	6333.357	-0.192	0.047	-4.071	4.68214007694787e-05	0.00262004755139208	5888.53	6059.57	5794.05	6561.49	6897.86	6798.65	SF3B2	splicing	factor	TRUE
ENSG00000058668	1731.335	0.259	0.064	4.068	4.74873182997047e-05	0.00264506551285037	1850.8	1848.41	1959.55	1588.58	1643.74	1496.92	ATP2B4	ATPase	plasma	TRUE
ENSG00000085224	2940.344	0.266	0.065	4.066	4.78808500811065e-05	0.00265475153637768	2955.83	3248.35	3429.9	2677.8	2522.3	2807.89	ATRX	ATRX	chromatin	TRUE
ENSG00000101294	3579.489	-0.213	0.052	-4.063	4.84218108143767e-05	0.00266033830596987	3443.1	3311.93	3192.66	3805.18	3909.97	3814.1	HM13	histocompatibility	minor	TRUE
ENSG00000123136	1813.481	-0.26	0.064	-4.063	4.84089959564734e-05	0.00266033830596987	1657.54	1721.25	1575.18	1976.73	2063.79	1886.39	DDX39A	DExD-box	helicase	TRUE
ENSG00000115053	33102.078	-0.161	0.04	-4.059	4.92451989488459e-05	0.00269333357327919	31704.73	30867.8	31200.15	35046.94	34420.45	35372.39	NCL	nucleolin	RNA	TRUE
ENSG00000136938	7847.347	-0.202	0.05	-4.057	4.96930370307686e-05	0.00269345174256009	7673.26	7156.35	7063.02	8287.45	8656.99	8247.02	ANP32B	acidic	nuclear	TRUE
ENSG00000167378	532.562	-0.443	0.109	-4.058	4.95721601262837e-05	0.00269345174256009	527.74	384.9	438.62	609.48	644.74	589.88	IRGQ	immunity	related	TRUE
ENSG00000112715	1759.32	0.25	0.062	4.052	5.07095479934291e-05	0.00272411691820701	1893.74	1999.42	1842.77	1633.29	1615.4	1571.3	VEGFA	vascular	endothelial	TRUE
ENSG00000165092	18840.809	0.269	0.066	4.053	5.05185704611378e-05	0.00272411691820701	20502.49	18820.2	22458.04	15545.65	17647.98	18070.5	ALDH1A1	aldehyde	dehydrogenase	TRUE
ENSG00000258017	245.629	-0.521	0.129	-4.051	5.10263134781498e-05	0.00272900465048848	201.51	198.69	205.06	274.76	312.76	281	AC011603.2	NA	NA	TRUE
ENSG00000214753	1213.296	-0.276	0.068	-4.049	5.14305486485826e-05	0.00273850679081682	1144.67	1071.81	1074.95	1296.38	1360.34	1331.63	HNRNPUL2	heterogeneous	nuclear	TRUE
ENSG00000144366	3391.314	0.313	0.077	4.042	5.31052484382538e-05	0.00281527692049638	3281.22	4005.65	3988.07	3028.88	2771.29	3272.77	GULP1	GULP	PTB	TRUE
ENSG00000169871	1421.72	0.32	0.079	4.04	5.35562945495958e-05	0.00282679009703478	1421.34	1642.91	1672.65	1374.88	1194.35	1224.19	TRIM56	tripartite	motif	TRUE
ENSG00000123975	2408.881	-0.233	0.058	-4.036	5.44109422603845e-05	0.00285941330044029	2299.25	2245.8	2099.32	2604.75	2571.89	2632.27	CKS2	CDC28	protein	TRUE
ENSG00000196154	386.655	-0.487	0.121	-4.034	5.47751959183053e-05	0.00286609434227081	345.22	346.29	274.94	484.1	472.68	396.7	S100A4	S100	calcium	TRUE
ENSG00000153071	1701.145	0.293	0.073	4.032	5.52106360706226e-05	0.00287642654390351	1924.3	1726.93	1967.83	1409.77	1634.63	1543.41	DAB2	DAB	adaptor	TRUE
ENSG00000052795	1007.033	0.371	0.092	4.03	5.57675294704644e-05	0.00288060738764745	988.58	1205.78	1214.72	864.62	805.68	962.82	FNIP2	folliculin	interacting	TRUE
ENSG00000260597	99.297	0.845	0.21	4.03	5.57468135844134e-05	0.00288060738764745	113.97	122.62	146.21	66.51	60.73	85.74	AC012531.1	NA	NA	TRUE
ENSG00000127884	4069.178	-0.225	0.056	-4.021	5.78807292325937e-05	0.00297703989035898	3936.97	3744.51	3573.35	4247.85	4596.21	4316.18	ECHS1	enoyl-CoA	hydratase,	TRUE
ENSG00000100014	558.154	-0.393	0.098	-4.005	6.20492404808862e-05	0.0031645112645252	536	428.04	480.92	635.65	614.38	653.93	SPECC1L	sperm	antigen	TRUE
ENSG00000101057	1781.24	-0.312	0.078	-4.005	6.20237547945747e-05	0.0031645112645252	1478.33	1810.94	1483.23	2008.35	1873.5	2033.09	MYBL2	MYB	proto-oncogene	TRUE
ENSG00000125877	1760.381	-0.261	0.065	-4.002	6.27160062526031e-05	0.00317392058653152	1664.15	1609.98	1530.12	2033.43	1881.6	1843	ITPA	inosine	triphosphatase	TRUE
ENSG00000137210	2263.989	-0.226	0.056	-4.002	6.27589162059265e-05	0.00317392058653152	2125.82	2034.62	2099.32	2505.53	2380.6	2438.05	TMEM14B	transmembrane	protein	TRUE
ENSG00000101017	958.231	-0.34	0.085	-3.998	6.37762938993907e-05	0.00317983366067157	849.01	926.48	763.22	1152.46	1033.41	1024.81	CD40	CD40	molecule	TRUE
ENSG00000143870	16678.476	-0.199	0.05	-3.998	6.39265337799226e-05	0.00317983366067157	15511.69	16280.33	14798.23	18443.69	17135.83	17901.08	PDIA6	protein	disulfide	TRUE
ENSG00000156535	5206.253	0.3	0.075	3.998	6.3928152522809e-05	0.00317983366067157	4884.26	6016.42	6338.42	4640.36	4575.97	4782.09	CD109	CD109	molecule	TRUE
ENSG00000197467	114.349	-0.783	0.196	-3.998	6.39150141185295e-05	0.00317983366067157	94.15	65.85	91.03	145.01	161.95	128.1	COL13A1	collagen	type	TRUE
ENSG00000075391	5516.269	0.22	0.055	3.993	6.51392991582066e-05	0.00320056385741969	5634.98	5966.47	6205.09	5093.93	4864.43	5332.72	RASAL2	RAS	protein	TRUE
ENSG00000147155	515.912	-0.377	0.094	-3.994	6.49541650646139e-05	0.00320056385741969	441.02	429.18	475.4	610.57	558.71	580.59	EBP	EBP	cholestenol	TRUE
ENSG00000231925	3528.166	-0.214	0.054	-3.994	6.4835275492621e-05	0.00320056385741969	3379.5	3260.84	3158.64	3769.2	3925.15	3675.67	TAPBP	TAP	binding	TRUE
ENSG00000197415	279.411	0.55	0.138	3.989	6.62442305468397e-05	0.00324167617254919	298.97	332.67	365.06	188.62	228.75	262.4	VEPH1	ventricular	zone	TRUE
ENSG00000095564	2057.544	0.281	0.071	3.979	6.9296110286048e-05	0.00337734711704622	2087.83	2267.37	2417.48	1917.86	1713.58	1941.14	BTAF1	B-TFIID	TATA-box	TRUE
ENSG00000164400	219.325	-0.618	0.155	-3.977	6.987573990174e-05	0.00339191995257964	196.56	169.17	152.64	317.28	254.05	226.24	CSF2	colony	stimulating	TRUE
ENSG00000025772	1380.466	-0.252	0.063	-3.975	7.04599826747063e-05	0.0034065992423567	1256.16	1258.01	1266.21	1530.8	1475.73	1495.89	TOMM34	translocase	of	TRUE
ENSG00000090615	4028.677	-0.232	0.058	-3.969	7.22254915746145e-05	0.00346598104411223	3993.13	3520.84	3599.1	4248.94	4499.04	4311.01	GOLGA3	golgin	A3	TRUE
ENSG00000145050	1190.327	-0.295	0.074	-3.969	7.2261704568237e-05	0.00346598104411223	1143.84	1089.97	972.88	1309.46	1312.77	1313.03	MANF	mesencephalic	astrocyte	TRUE
ENSG00000091986	9778.363	0.27	0.068	3.967	7.28177275930965e-05	0.0034788453494773	9908.09	11290.3	10880.05	7865.5	9162.05	9564.18	CCDC80	coiled-coil	domain	TRUE
ENSG00000138668	10693.11	-0.178	0.045	-3.955	7.66003420180088e-05	0.00363259578231402	10394.53	9905.13	9806.02	11152.79	11445.48	11454.7	HNRNPD	heterogeneous	nuclear	TRUE
ENSG00000170144	15645.626	-0.158	0.04	-3.955	7.6637041820971e-05	0.00363259578231402	14884.02	14749.83	14732.94	16453.88	16451.61	16601.47	HNRNPA3	heterogeneous	nuclear	TRUE
ENSG00000132661	475.634	-0.392	0.099	-3.947	7.9063074187631e-05	0.00373295069416366	428.63	426.91	378.85	570.23	520.25	528.93	NXT1	nuclear	transport	TRUE
ENSG00000172301	1383.481	-0.267	0.068	-3.945	7.98204203523996e-05	0.00375404443890838	1318.11	1253.47	1195.41	1529.71	1548.6	1455.6	COPRS	coordinator	of	TRUE
ENSG00000174099	2939.437	0.245	0.062	3.942	8.07033217835587e-05	0.00378085678448788	3002.9	3155.24	3406.91	2611.29	2626.55	2833.72	MSRB3	methionine	sulfoxide	TRUE
ENSG00000168496	1435.001	-0.256	0.065	-3.941	8.10398110980949e-05	0.00378196214958561	1280.94	1318.19	1325.06	1634.38	1512.16	1539.28	FEN1	flap	structure-specific	TRUE
ENSG00000088833	2276.798	-0.223	0.057	-3.938	8.22967261852209e-05	0.00381560033689721	2125.82	2143.61	2034.03	2436.84	2401.85	2518.63	NSFL1C	NSFL1	cofactor	TRUE
ENSG00000188229	9814.732	-0.231	0.059	-3.937	8.23919655770804e-05	0.00381560033689721	8784.07	9940.32	8368.78	10568.38	10584.13	10642.71	TUBB4B	tubulin	beta	TRUE
ENSG00000099204	9539.905	0.239	0.061	3.932	8.41864097294968e-05	0.0038398533373601	9638.03	10336.57	11008.79	8237.3	8604.35	9414.39	ABLIM1	actin	binding	TRUE
ENSG00000107560	1252.319	0.342	0.087	3.934	8.36983516760056e-05	0.0038398533373601	1215.7	1510.07	1476.79	1115.39	1016.21	1179.77	RAB11FIP2	RAB11	family	TRUE
ENSG00000120437	1749.141	-0.319	0.081	-3.933	8.40612046538953e-05	0.0038398533373601	1383.35	1706.49	1582.54	1974.55	1763.18	2084.74	ACAT2	acetyl-CoA	acetyltransferase	TRUE
ENSG00000153253	282.455	0.583	0.148	3.934	8.33870260141381e-05	0.0038398533373601	277.5	373.54	366.9	183.17	259.11	234.51	SCN3A	sodium	voltage-gated	TRUE
ENSG00000137547	2757.801	-0.244	0.062	-3.931	8.46401442125671e-05	0.00384603542517781	2604	2513.75	2455.18	3120.47	2749.02	3104.38	MRPL15	mitochondrial	ribosomal	TRUE
ENSG00000187244	959.321	0.413	0.105	3.93	8.49861112028892e-05	0.00384729260715102	1119.07	1198.97	971.04	718.51	981.79	766.54	BCAM	basal	cell	TRUE
ENSG00000058063	1179.418	0.307	0.078	3.924	8.70611812696356e-05	0.00392652424629136	1177.71	1361.33	1376.56	1057.6	1001.02	1102.29	ATP11B	ATPase	phospholipid	TRUE
ENSG00000233237	288.394	0.481	0.123	3.922	8.78712306493041e-05	0.00394832551991873	321.27	316.77	369.66	239.87	232.8	250	LINC00472	long	intergenic	TRUE
ENSG00000002079	157.826	-0.674	0.172	-3.921	8.82446319024496e-05	0.00395041802149966	115.62	141.92	108.51	162.46	197.37	221.08	MYH16	myosin	heavy	TRUE
ENSG00000145358	112.715	-0.743	0.19	-3.919	8.88105055880181e-05	0.00396107963484271	81.76	88.56	82.76	159.19	121.46	142.56	DDIT4L	DNA	damage	TRUE
ENSG00000168393	1794.395	-0.239	0.061	-3.918	8.9204549868364e-05	0.00396402718477543	1685.62	1683.78	1568.74	1976.73	1940.31	1911.18	DTYMK	deoxythymidylate	kinase	TRUE
ENSG00000109265	371.217	0.435	0.111	3.916	9.01285304652212e-05	0.00399041592576238	391.47	453.02	436.78	309.65	299.6	336.78	KIAA1211	KIAA1211	NA	TRUE
ENSG00000241837	1680.933	-0.257	0.066	-3.911	9.17734431845598e-05	0.00404841462690429	1646.81	1487.36	1458.4	1821.91	1819.86	1851.27	ATP5PO	ATP	synthase	TRUE
ENSG00000070756	27241.024	0.167	0.043	3.909	9.27231596698918e-05	0.00406527942020013	28215.39	28291.6	29933.02	25495.82	25833.3	25677.01	PABPC1	poly(A)	binding	TRUE
ENSG00000131016	11500.159	-0.222	0.057	-3.909	9.28284206151433e-05	0.00406527942020013	10303.69	11276.68	10272.23	13222.2	11638.8	12287.36	AKAP12	A-kinase	anchoring	TRUE
ENSG00000186815	2419.568	-0.215	0.055	-3.907	9.36203358799039e-05	0.00408515884397256	2249.7	2253.75	2214.26	2685.44	2572.91	2541.36	TPCN1	two	pore	TRUE
ENSG00000106028	3936.392	-0.194	0.05	-3.901	9.59546887228987e-05	0.00417195799494128	3770.15	3582.15	3660.71	4125.74	4241.95	4237.66	SSBP1	single	stranded	TRUE
ENSG00000118762	3619.435	0.244	0.062	3.899	9.67767353983282e-05	0.00417785050313696	3813.92	3757	4200.48	3394.14	3082.02	3469.06	PKD2	polycystin	2,	TRUE
ENSG00000176697	1419.416	-0.261	0.067	-3.898	9.71271607000484e-05	0.00417785050313696	1317.28	1246.66	1307.59	1639.83	1503.05	1502.09	BDNF	brain	derived	TRUE
ENSG00000197969	3059.818	0.218	0.056	3.898	9.7063147148241e-05	0.00417785050313696	3134.22	3395.95	3343.46	2877.33	2728.78	2879.17	VPS13A	vacuolar	protein	TRUE
ENSG00000177156	2265.052	-0.235	0.06	-3.891	9.98309345368783e-05	0.00427892377924556	2158.03	2002.82	2080.01	2320.18	2536.47	2492.8	TALDO1	transaldolase	1	TRUE
ENSG00000100162	387.171	-0.426	0.11	-3.88	0.000104302326823293	0.00442837533032785	303.92	336.07	352.19	429.58	479.76	421.49	CENPM	centromere	protein	TRUE
ENSG00000104067	5150.996	0.258	0.066	3.88	0.000104416891630962	0.00442837533032785	5059.35	5771.18	6002.79	4451.74	4603.29	5017.63	TJP1	tight	junction	TRUE
ENSG00000114439	2392.073	0.303	0.078	3.881	0.000103964534358393	0.00442837533032785	2282.73	2755.59	2890.13	2220.96	2026.34	2176.68	BBX	BBX	high	TRUE
ENSG00000265150	3375.581	0.256	0.066	3.872	0.000108029198897718	0.00456555568907945	3453.01	4043.12	3529.21	3250.22	2971.7	3006.24	NA	NA	NA	TRUE
ENSG00000122741	1095.233	0.317	0.082	3.863	0.000111945609459711	0.00471458739212377	1090.99	1212.59	1342.54	992.18	939.28	993.82	DCAF10	DDB1	and	TRUE
ENSG00000167900	3324.938	-0.235	0.061	-3.86	0.00011321606780577	0.00475153684572343	2907.1	3308.52	2954.5	3450.83	3646.8	3681.87	TK1	thymidine	kinase	TRUE
ENSG00000071967	6173.259	0.253	0.066	3.853	0.000116734209767704	0.00488223665557869	6229.62	6568.22	7340.72	5457	5368.48	6075.5	CYBRD1	cytochrome	b	TRUE
